location,source,target,id,fuzzy,context,translator_comments,developer_comments
,Soundscape,Soundscape,,False,app_name,,' Name of the app - should be Soundscape in all languages '
,Cancel,Cancel,,False,general_alert_cancel,,' Text for button to cancel dialog '
,Done,Done,,False,general_alert_done,,' Text for button to accept as done a dialog '
,Getting things ready…,Getting things ready…,,False,general_loading_start,,' Text displayed whilst app is starting location simulation mode '
,We are having trouble finding your current location.,We are having trouble finding your current location.,,False,general_error_location_services_find_location_error,,' Error message that Soundscape is having trouble determining current location '
,We are having trouble marking this place. Try again later.,We are having trouble marking this place. Try again later.,,False,general_error_add_marker_error,,' Error message that Soundscape is having trouble adding a marker to this location.'
,"There's already a marker in the route at this location, we cannot add it again.","There's already a marker in the route at this location, we cannot add it again.",,False,general_error_add_marker_duplicate,,' Error message that Soundscape can't add a marker to a route because it's already in the route.'
,Settings,Settings,,False,settings_screen_title,,' Menu button to get to the Settings page '
,The various app settings are organized in groups below. Tap on a group to expand it and see the available options.,The various app settings are organized in groups below. Tap on a group to expand it and see the available options.,,False,settings_explanation,,' Text explaining how the settings screen works '
,About Soundscape,About Soundscape,,False,settings_about_app,,' Menu button to information about the Soundscape app '
,Units of Measure,Units of Measure,,False,settings_section_units,,' In the Settings page the title of the section for the units of measurement e.g. metric or imperial '
,Select the units of measurement to use for distance,Select the units of measurement to use for distance,,False,settings_section_units_description,,' In the Settings page this is the description of the option to control which units are used '
,Imperial (Feet),Imperial (Feet),,False,settings_units_imperial,,' The option for setting the units of measurement to miles and feet '
,Metric (Meters),Metric (Meters),,False,settings_units_metric,,' The option for setting the units of measurement to kilometers and meters '
,Search,Search,,False,settings_section_search,,' In the Settings page the title of the section for selecting which search system to use '
,Type a destination name or address,Type a destination name or address,,False,search_bar_hint,,' A hint for the search bar explaining what it's for '
,Search mode,Search mode,,False,settings_section_search_network,,' This is the setting to control whether the Search uses offline data or can use an online server '
,Control whether search uses only offline data,Control whether search uses only offline data,,False,settings_section_search_network_description,,' This is the description for the search mode '
,Online,Online,,False,settings_search_online,,' The option for setting the search to use the online search engines '
,Offline,Offline,,False,settings_search_offline,,' The option for setting the search to use the offline search engine '
,Auto,Auto,,False,settings_search_auto,,' The option for setting the search to automatically pick the best engine based on network and device capabilities '
,No search results found,No search results found,,False,search_no_results,,' Text shown when no search results were found '
,Searching…,Searching…,,False,search_searching,,' Text shown when no search in progress '
,Speaking Rate,Speaking Rate,,False,voice_settings_speaking_rate,,' Title for option to set the speed of the text-to-speech voice. '
,Text-to-Speech Engine,Text-to-Speech Engine,,False,voice_engine,,' Title for option to select the text-to-speech engine to use. '
,Voices,Voices,,False,voice_voices,,' Title for option to select the text-to-speech voice to use. '
,Audio beacon styles,Audio beacon styles,,False,beacon_settings_style,,' Title of a section in the beacon settings page where the user can select which style of beacon that they want. '
,Choose the style of audio beacon you wish to use,Choose the style of audio beacon you wish to use,,False,beacon_settings_style_description,,' Description of the choice of beacon settings. '
,Current,Current,,False,beacon_styles_current,,"' Name of a beacon style. This is the name of the most recent version of the beacon audio we had in Soundscape as of the v4.1 release, so we refer to it as the ""current"" beacon. '"
,Original,Original,,False,beacon_styles_original,,"' Name of a beacon style. This is the name of the first style of beacon audio we had in Soundscape, so we refer to it as ""Original"" '"
,Flare,Flare,,False,beacon_styles_flare,,"' Name of a beacon style. In this context, ""flare"" refers to a bright burst of light. The audio for this beacon style is bright and fun '"
,Shimmer,Shimmer,,False,beacon_styles_shimmer,,"' Name of a beacon style. In this context, ""shimmer"" is used as a synonym for ""flare"". The audio for this beacon is bright and fun (just as with the style refered to by beacon.styles.flare), but it is a bit softer than the ""Flare"" style. '"
,Tactile,Tactile,,False,beacon_styles_tactile,,"' Name of a beacon style. This beacon style name is intended to hint at the percussive, tapping, nature of the beacon audio. '"
,Ping,Ping,,False,beacon_styles_ping,,' Name of a beacon style. Refers to a short high pitched ringing sound that repeats in this beacon style. '
,Drop,Drop,,False,beacon_styles_drop,,"' Name of a beacon style. This beacon style is based on the sound of an object being dropped on a hard floor, hence the name ""Drop"" is alluding to that sound. '"
,Signal,Signal,,False,beacon_styles_signal,,"' Name of a beacon style. This name is alluding to the radar-like nature of this beacon (hence ""signal"") which has an impulse which repeats over and over '"
,Signal (Slow),Signal (Slow),,False,beacon_styles_signal_slow,,"' Name of a beacon style. ""Signal"" is used in the same way here as in the string with key 'beacon.styles.signal'. The difference here is that this version is a slower version of the beacon audio. '"
,Signal (Very Slow),Signal (Very Slow),,False,beacon_styles_signal_very_slow,,"' Name of a beacon style. ""Signal"" is used in the same way here as in the string with key 'beacon.styles.signal'. The difference here is that this version is a much slower version of the beacon audio. '"
,Mallet,Mallet,,False,beacon_styles_mallet,,"' Name of a beacon style. This beacon style has a similar timbre to the sound that is generated when a mallet is used to play the xylophone, hence the name ""mallet"". '"
,Mallet (Slow),Mallet (Slow),,False,beacon_styles_mallet_slow,,"' Name of a beacon style. ""Mallet"" is used in the same way here as in the string with key 'beacon.styles.mallet'. The difference here is that this version is a slower version of the beacon audio. '"
,Mallet (Very Slow),Mallet (Very Slow),,False,beacon_styles_mallet_very_slow,,"' Name of a beacon style. ""Mallet"" is used in the same way here as in the string with key 'beacon.styles.mallet'. The difference here is that this version is a much slower version of the beacon audio. '"
,Audio Beacon,Audio Beacon,,False,beacon_audio_beacon,,' Title for section in settings for audio beacons '
,Mute Beacon,Mute Beacon,,False,beacon_action_mute_beacon,,' Mute Beacon text description '
,Mute the audio beacon.,Mute the audio beacon.,,False,beacon_action_mute_beacon_acc_hint,,"' Talkback hint for the mute button which sets the volume on the audio beacon to zero. This is always preceded by ""Double tap to "" '"
,Unmute Beacon,Unmute Beacon,,False,beacon_action_unmute_beacon,,' Unmute Beacon text description '
,Unmute the audio beacon.,Unmute the audio beacon.,,False,beacon_action_unmute_beacon_acc_hint,,"' Talkback hint for the mute button which sets the volume on the audio beacon to 100%. This is always preceded by ""Double tap to "" '"
,Simulate Location,Simulate Location,,False,preview_title,,' This is the title for functionality that allows the user to select any location in the world to preview the area at street level in order to familiarise and build a mental map of the space. '
,Go,Go,,False,preview_go_title,,' Text for button to go to the next intersection '
,Move in this direction to the next intersection.,Move in this direction to the next intersection.,,False,preview_go_hint,,"' Hint for button that in street preview goes to the next intersection. This is always preceded by ""Double tap to  '"
,Go to nearest intersection,Go to nearest intersection,,False,preview_go_nearest_intersection,,' Initial location simulation state for Go button which is indicating that pressing the button will take the user to the nearest intersection '
,' and %s',' and %s',,False,last_entry_in_list,,"' Notification, %s is the last entry in a comma delimited list e.g. roads within an intersection. e.g. "" and Moor Road"" '"
,Unnamed Roads,Unnamed Roads,,False,preview_include_unnamed_roads_title,,' Title for a setting to include unnamed roads '
,Include unnamed roads during location simulation,Include unnamed roads during location simulation,,False,preview_include_unnamed_roads_title_description,,' A description for the setting that includes unnamed roads during location simulation'
,Location Details,Location Details,,False,location_detail_title_default,,' Location Details page title. This page shows information about the location including the address and a map. '
,Start Audio Beacon,Start Audio Beacon,,False,location_detail_action_beacon,,' Title for the action to start playing an audio beacon '
,Start audio beacon at this marker,Start audio beacon at this marker,,False,location_detail_action_beacon_from_markers,,' Title for the action to start playing an audio beacon from the markers list '
,Guide you towards this location with sound.,Guide you towards this location with sound.,,False,location_detail_action_beacon_hint,,"' Talkback hint for the action to set an audio beacon at this location. This is always preceded by ""Double tap to "" '"
,Save this location to use later,Save this location to use later,,False,location_detail_action_save_hint,,"' Talkback hint for the action to save marker. This is always preceded by ""Double tap to "" '"
,Change the marker name or add additional notes,Change the marker name or add additional notes,,False,location_detail_action_edit_hint,,"' Talkback hint for the action to edit marker. This is always preceded by ""Double tap to "" '"
,Share this location with another app,Share this location with another app,,False,location_detail_action_share_hint,,"' Talkback hint for the action to share. This is always preceded by ""Double tap to "" '"
,Start previewing at this location,Start previewing at this location,,False,location_detail_action_preview_hint,,"' Talkback hint for the action to preview. This is always preceded by ""Double tap to "" '"
,Remove this marker from your route.,Remove this marker from your route.,,False,location_detail_add_waypoint_existing_hint,,"' Accessibility hint for markers in a list which could be removed from the list. This is always preceded by ""Double tap to "" '"
,Add this marker as a waypoint on your route.,Add this marker as a waypoint on your route.,,False,location_detail_add_waypoint_new_hint,,"' Accessibility hint for markers in a list that can be added to a list. This is always preceded by ""Double tap to "" '"
,Make the map full screen,Make the map full screen,,False,location_detail_full_screen_hint,,' Talkback hint for button that makes map full screen '
,Exit full screen map,Exit full screen map,,False,location_detail_exit_full_screen_hint,,' Talkback hint for button that stops map being full screen '
,Make the map full screen and edit the marker location,Make the map full screen and edit the marker location,,False,location_detail_full_screen_for_edit_hint,,' Talkback hint for button that makes map full screen to enable editing of the location '
,Exit marker location editing mode,Exit marker location editing mode,,False,location_detail_exit_full_screen_for_edit_hint,,' Talkback hint for button that stops map editing mode '
,Start Route,Start Route,,False,route_detail_action_start_route,,' Title for the action to start playing the audio for a route '
,Stop Route,Stop Route,,False,route_detail_action_stop_route,,' Title for the action to stop playing the audio for a route '
,Edit Route,Edit Route,,False,route_detail_action_edit,,' Text for the action to start editing a route '
,Start playback of this route,Start playback of this route,,False,route_detail_action_start_route_hint,,"' Talkback hint for the action to start the route. This is always preceded by ""Double tap to "" '"
,Add waypoints before starting the route,Add waypoints before starting the route,,False,route_detail_action_start_route_disabled_hint,,"' Talkback hint for the action to start the route when the action is disabled. This action is only disabled when no waypoints have been added to a route yet. This is always preceded by ""Double tap to "" '"
